TimeStamp,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Position X,Position Y,Position Z,Right Eye Position X,Right Eye Position Y,Right Eye Position Z,Left Eye Position X,Left Eye Position Y,Left Eye Position Z,Center Eye Position X,Center Eye Position Y,Center Eye Position Z,Center Eye Rotation X,Center Eye Rotation Y,Center Eye Rotation Z,Center Eye Rotation W,Left Eye Rotation X,Left Eye Rotation Y,Left Eye Rotation Z,Left Eye Rotation W,Right Eye Rotation X,Right Eye Rotation Y,Right Eye Rotation Z,Right Eye Rotation W
37.18956,2.7426023,-32.975105,9.698429,-0.36503252,0.46766353,-0.15271501,-0.33290863,0.48336467,-0.13693473,-0.38616562,0.47464752,-0.11143041,-0.35899755,0.47370753,-0.12554765,0.2913976,0.22021304,0.014994688,0.93078935,0.33131534,0.22375555,0.021335248,0.9163562,0.3273443,0.21516427,0.0266048,0.919697
37.205616,-11.303199,-35.395367,18.88076,-0.36503252,0.46766353,-0.15271501,-0.33324522,0.48315597,-0.1304841,-0.3865528,0.47436714,-0.10511043,-0.35934803,0.47346336,-0.119159184,0.28926158,0.21638775,0.018553227,0.9322875,0.3292576,0.21979316,0.02473587,0.91796976,0.32525674,0.21119101,0.030001588,0.92125267
37.221394,0.6436264,-33.22843,7.015034,-0.36503252,0.46766353,-0.15271501,-0.33210552,0.48397812,-0.12604931,-0.38561425,0.47498715,-0.10117477,-0.3582677,0.47418323,-0.114951625,0.28904712,0.21239783,0.020796055,0.93322366,0.32908845,0.21571638,0.02680581,0.9189387,0.3250741,0.20711091,0.03208613,0.9221725
37.237267,11.866231,-37.704144,0.2627894,-0.36503252,0.46766353,-0.15271501,-0.3306167,0.48357004,-0.12128824,-0.38447794,0.47447908,-0.09722412,-0.35693425,0.47373003,-0.11060572,0.29046038,0.20749706,0.02268843,0.93384314,0.33052877,0.21074028,0.028478745,0.9195261,0.32650882,0.20213872,0.033792507,0.92270803
37.252785,15.40506,-39.75396,-11.45438,-0.35681492,0.47014007,-0.13524914,-0.33061495,0.48151785,-0.11487479,-0.38473746,0.47247377,-0.09138604,-0.35706246,0.47170463,-0.1044927,0.29260308,0.20196809,0.023236057,0.9343728,0.33268586,0.20519228,0.02877769,0.91999346,0.32867658,0.19659323,0.03413406,0.9231239
37.268517,8.271865,-23.139051,-5.2379985,-0.3554572,0.46999097,-0.13017768,-0.3286841,0.48033988,-0.10928718,-0.38296282,0.4713091,-0.086156555,-0.35520706,0.47053537,-0.099090986,0.29373384,0.1987619,0.023722867,0.9346932,0.33382657,0.2019681,0.029120713,0.9202829,0.3298217,0.19337057,0.0345007,0.92338246
37.284668,6.4884353,-25.12725,26.65952,-0.3538509,0.4696248,-0.12498774,-0.3247371,0.47795102,-0.10463374,-0.37911323,0.46852136,-0.0818942,-0.3512642,0.46795365,-0.09463768,0.2937537,0.19653086,0.028456809,0.9350265,0.33388177,0.1995387,0.03375434,0.92063457,0.32983404,0.1909535,0.03914377,0.92369586
37.300247,26.751017,-21.170437,37.410385,-0.35228136,0.46928307,-0.11989242,-0.32281935,0.48201558,-0.09905806,-0.3772378,0.47194907,-0.07669607,-0.3493119,0.47171494,-0.08928065,0.2960659,0.19522558,0.03477202,0.934357,0.33619407,0.19795766,0.03999696,0.9198841,0.33208793,0.18940797,0.045413435,0.92291933
37.316113,5.4350266,-23.04507,43.508503,-0.35228136,0.46928307,-0.11989242,-0.3193494,0.4744648,-0.09284747,-0.37379566,0.46377513,-0.07084508,-0.34579015,0.46386287,-0.083253495,0.29547507,0.19399709,0.041491102,0.9345256,0.33564413,0.19644521,0.046660155,0.92009526,0.3314719,0.18791442,0.052076183,0.92309403
37.33308,5.494622,-20.16786,12.964066,-0.35228136,0.46928307,-0.11989242,-0.31720236,0.47310576,-0.087498255,-0.3717375,0.46217135,-0.06583891,-0.34365898,0.46238685,-0.0780796,0.29573715,0.19173849,0.044324964,0.93477875,0.33592787,0.19406861,0.04939314,0.92035335,0.33173287,0.18554531,0.05482071,0.9233207
37.34771,22.775469,-34.23708,27.041126,-0.35228136,0.46928307,-0.11989242,-0.31525484,0.48352882,-0.08702955,-0.3698969,0.4721253,-0.06588794,-0.34171835,0.47258812,-0.07788955,0.29759362,0.18854095,0.049401272,0.9345854,0.33779564,0.19065318,0.054318823,0.92010593,0.33355942,0.1821546,0.05977645,0.9230302
37.3644,35.263657,-26.481464,15.520614,-0.35228136,0.46928307,-0.11989242,-0.30989394,0.47546518,-0.08024547,-0.3646423,0.4636237,-0.059626035,-0.33637625,0.46432287,-0.07140848,0.30176988,0.18535104,0.053628776,0.9336508,0.34194496,0.18727396,0.058385868,0.9190175,0.3376791,0.17881234,0.06389498,0.9219091
37.380997,-21.961493,-39.02439,23.7239,-0.33955708,0.46588773,-0.092330046,-0.30414215,0.4727294,-0.07459165,-0.3590293,0.4606305,-0.05449727,-0.33064395,0.461457,-0.06598082,0.29785183,0.18127625,0.057951696,0.935449,0.3381232,0.18303415,0.06254831,0.9210096,0.33381924,0.17455535,0.06803715,0.92383224
37.397472,-21.715355,-46.150272,12.455239,-0.33955708,0.46588773,-0.092330046,-0.30014676,0.47397664,-0.07136619,-0.35523528,0.461773,-0.051895767,-0.32671183,0.4626482,-0.0630282,0.29421356,0.17577837,0.061035603,0.93745136,0.33458102,0.17742617,0.065410316,0.9231993,0.33025563,0.16892461,0.070887044,0.92594314
37.414127,4.520798,-39.722343,-1.1212764,-0.33955708,0.46588773,-0.092330046,-0.29618675,0.47576088,-0.06841496,-0.35148436,0.46351644,-0.049573094,-0.32283926,0.46441406,-0.060386844,0.29450083,0.17027515,0.06269588,0.938267,0.33490252,0.17186095,0.06683122,0.92403334,0.33057502,0.16335674,0.07233238,0.9267162
37.43077,16.938337,-47.787334,-19.600843,-0.3307576,0.46345943,-0.078357294,-0.28926674,0.47498602,-0.06637193,-0.3448631,0.4629098,-0.04831717,-0.31607366,0.46372494,-0.05874718,0.29684952,0.16276495,0.062485762,0.9388735,0.33726144,0.16436596,0.06628729,0.92457795,0.3329587,0.15586135,0.07184005,0.9271921
37.447567,2.5891268,-46.176743,-19.883854,-0.32655397,0.46291253,-0.0745047,-0.28196654,0.47438616,-0.06365037,-0.3378499,0.4625605,-0.046330635,-0.3089235,0.46324676,-0.056384563,0.29724917,0.15551709,0.061818693,0.940019,0.33769432,0.15715866,0.065307364,0.9257422,0.33341795,0.14864019,0.07089235,0.928285
